COSMIC 2-3,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,708,724,0.00113,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-4,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,710,724,0.000988,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-5,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,709,724,0.00106,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-6,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,708,724,0.00113,24,280,2019,5,Cape Canaveral,Falcon Heavy
Cryosat-2,European Space Agency (ESA),Government,Earth Observation,LEO,Polar,713,724,0.000776,92,720,2010,3,Baikonur Cosmodrome,Dnepr
CSO-1,Directorate General of Armaments (DGA),Military,Earth Observation,LEO,Sun-Synchronous,800,800,0,98.6,3565,2018,10,Guiana Space Center,Soyuz
Deimos 1,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,LEO,Sun-Synchronous,661,662,7.11E-05,98,90,2009,5,Baikonur Cosmodrome,Dnepr
Dellingr,NASA Goddard Space Flight Center,Government,Technology Development,LEO,Non-Polar Inclined,401,404,0.000221,51.6,12,2017,1,International Space Station,Nanorack Deployer
DLR Tubsat,Deutsches Zentrum f�r Luft- und Raumfahrt,Government,Earth Science,LEO,Sun-Synchronous,712,732,0.00141,98.6,45,1999,1,Satish Dhawan Space Centre,PSLV C2
DMC 3-1,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,636,663,0.00192,98,447,2015,10,Satish Dhawan Space Centre,PSLV
DMC 3-2,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,636,663,0.00192,98,447,2015,10,Satish Dhawan Space Centre,PSLV
DMC 3-3,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,636,661,0.00178,98,447,2015,10,Satish Dhawan Space Centre,PSLV
USA 131,DoD/NOAA,Military,Earth Observation,LEO,Sun-Synchronous,842,855,0.0009,98.9,1134,1997,5,Vandenberg AFB,Titan 2
USA 147,DoD/NOAA,Military,Earth Observation,LEO,Sun-Synchronous,837,851,0.00097,98.9,1152,1999,5,Vandenberg AFB,Titan 2
USA 172,DoD/NOAA,Military,Earth Observation,LEO,Sun-Synchronous,843,852,0.000623,98.9,1154,2003,5,Vandenberg AFB,Titan 2
USA 173,DoD/NOAA,Military,Earth Observation,LEO,Sun-Synchronous,842,855,0.0009,98.79,1154,2006,5,Vandenberg AFB,Delta 4
USA 210,DoD/NOAA,Military,Earth Observation,LEO,Sun-Synchronous,842,859,0.00118,98.93,1155,2009,5,Vandenberg AFB,Atlas 5
EcAMSat,Santa Clara University,Government,Space Science,LEO,Non-Polar Inclined,397,408,0.000812,51.6,10,2017,1,International Space Station,Nanorack Deployer
EgyptSat-A,National Authority for Remote Sensing and Space Science (NARSS),Government,Earth Observation,LEO,Sun-Synchronous,652,657,0.000356,98,2200,2019,11,Baikonur Cosmodrome,Soyuz
Terra,Earth Sciences Enterprise (NASA),Government,Earth Observation,LEO,Sun-Synchronous,702,703,7.07E-05,98.2,4854,1999,6,Vandenberg AFB,Atlas 2AS
Aura,Goddard Space Flight Center/EOS Data and Operations System,Government,Earth Observation,LEO,Sun-Synchronous,702,703,7.07E-05,98.2,2967,2004,5,Vandenberg AFB,Delta 2
Aqua,National Aeronautics and Space Administration (NASA) - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,701,704,0.000212,98.2,2934,2002,6,Vandenberg AFB,Delta
ExSeedSat-1,Exseed Space,Commercial,Communications,LEO,Sun-Synchronous,572,588,0.00115,97.7,4,2018,2,Vandenberg AFB,Falcon 9
Fengyun 3D,China Meteorological Administration,Government,Earth Observation,LEO,Sun-Synchronous,803,812,0.000627,98.6,2300,2017,8,Taiyuan Launch Center,Long March 4C
FormoSat-5,National Space Organization,Government,Earth Observation,LEO,Sun-Synchronous,710,729,0.00134,98.3,525,2017,5,Vandenberg AFB,Falcon 9
Fast On-orbit Recording of Transient Events) FORT� ,Los Alamos National Laboratory,Government,Earth Observation,LEO,Polar,790,823,0.0023,70,215,1997,3,Vandenberg AFB,Pegasus XL
Gaofen 10,China National Academy of Sciences (CNSAS),Government,Earth Observation,LEO,Sun-Synchronous,611,621,0.000716,97.8,1000,2019,8,Taiyuan Launch Center,Long March 4C
Gaofen 12,China National Academy of Sciences (CNSAS),Government,Earth Observation,LEO,Sun-Synchronous,612,616,621,97.9,1000,2019,8,Taiyuan Launch Center,Long March 4C
Gaofen 2,China National Academy of Sciences (CNSAS),Government,Earth Observation,LEO,Sun-Synchronous,620,636,0.00114,98.02,1000,2014,8,Taiyuan Launch Center,Long March 4B
Gaofen 3,State Oceanic Administration (SOA),Government,Earth Observation,LEO,Polar,757,759,0.00014,98.4,1000,2016,8,Taiyuan Launch Center,Long March 4C
Gaofen 8,People's Liberation Army (C41),Military,Earth Observation,LEO,Sun-Synchronous,484,492,0.000583,97.3,1000,2015,8,Taiyuan Launch Center,Long March 4B
Gaofen-1-02,"China�s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,LEO,Sun-Synchronous,638,642,0.000285,98,805,2018,8,Taiyuan Launch Center,Long March 4C
Gaofen-1-03,"China�s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,LEO,Sun-Synchronous,638,640,0.000143,98,805,2018,8,Taiyuan Launch Center,Long March 4C
Gaofen-1-04,"China�s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,LEO,Sun-Synchronous,638,642,0.000285,98,805,2018,8,Taiyuan Launch Center,Long March 4C
Gaofen-1-05,"China�s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,LEO,Sun-Synchronous,677,695,0.00128,98,805,2018,8,Taiyuan Launch Center,Long March 4C
Cosmos 2517,Ministry of Defense,Military,Earth Science,LEO,Sun-Synchronous,935,963,0.00191,99.27,900,2016,5,Plesetsk Cosmodrome,Rokot
Cosmos 2540,Ministry of Defense,Military,Earth Science,LEO,Sun-Synchronous,945,958,0.000888,99.3,900,2019,5,Plesetsk Cosmodrome,Rokot
Globalstar FM37,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1411,1417,0.000385,52,450,1999,10,Baikonur Cosmodrome,Soyuz U
Globalstar M065,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1411,1416,0.000321,52,450,2007,10,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M066,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,450,2007,10,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M067,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,450,2007,10,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M069,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1411,1416,0.000321,52,450,2007,10,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M070,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,450,2007,10,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M071,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,450,2007,10,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M072,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1416,0.000257,52,450,2007,10,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M073,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2010,15,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M074,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,700,2010,15,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M075,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1415,0.000128,52,700,2010,15,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M076,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,700,2010,15,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M077,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2010,15,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M078,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,51.99,700,2013,15,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
Globalstar M079,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2010,15,Baikonur Cosmodrome,Soyuz-Fregat
Globalstar M080,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
Globalstar M081,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1412,1415,0.000193,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a
Globalstar M082,Globalstar,Commercial,Communications,LEO,Non-Polar Inclined,1413,1414,6.42E-05,52,700,2011,15,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
